what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1340872272706
error,log,,,"Failed to load properties file for project 'addingtondemo-android'",1340872427998
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340872428037
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1340872428053
error,log,,,"Could not save master table to file '/Users/christopheraddington/Documents/Full Sail/AVF/AVF1207_AddingtonDemo/addingtondemo-android/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources'.",1340872428707
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340872429074
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1340872429116
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340872429140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872429202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872429361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872434103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340872436532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872442901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872487796
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340872490502
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340872490516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872494133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872574731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872577886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872628389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872630040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872645251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872650366
error,log,,,"Could not write workspace metadata '/Users/christopheraddington/Documents/Full Sail/AVF/AVF1207_AddingtonDemo/addingtondemo-android/.metadata/.plugins/org.eclipse.core.resources/.snap'.",1340872729004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872765723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872768966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872769906
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872769978
error,log,,,"Problems saving workspace",1340872772249
error,log,,,"Problems occurred while trying to save the state of the workbench.",1340872772250
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1340872772495
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1340872803047
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340872803049
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340872803050
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340872803051
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340872803051
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340872803052
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340872803053
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340872803054
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340872803054
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1340872803055
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1340872803055
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1340872803056
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1340872803056
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1340872803057
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1340872803057
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340872803058
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1340872803059
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1340872803059
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1340872803059
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1340872803060
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1340872803061
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1340872803061
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1340872803062
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1340872803062
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1340872803063
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1340872803064
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1340872803064
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1340872803065
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1340872803065
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1340872803066
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1340872803066
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1340872803067
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1340872803067
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1340872803068
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1340872803068
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1340872803069
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1340872803069
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1340872803070
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1340872803070
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1340872803071
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1340872803071
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340872803072
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340872803072
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340872803073
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340872803074
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340872803074
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340872803075
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340872803075
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340872803076
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340872803076
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340872803077
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340872803077
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340872803078
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340872803078
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1340872803079
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1340872803080
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1340872803080
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340872803080
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1340872803080
os,sysinfo,,,"macosx",1340872803083
arch,sysinfo,,,"x86_64",1340872803083
ws,sysinfo,,,"cocoa",1340872803083
locale,sysinfo,,,"en_US",1340872803083
processors,sysinfo,,,"8",1340872803083
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340872803083
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1340872803083
java.specification.name,sysinfo,,,"Java Platform API Specification",1340872803083
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340872803083
java.specification.version,sysinfo,,,"1.6",1340872803083
java.vendor,sysinfo,,,"Apple Inc.",1340872803083
java.version,sysinfo,,,"1.6.0_31",1340872803083
java.vm.info,sysinfo,,,"mixed mode",1340872803083
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340872803083
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340872803083
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340872803083
java.vm.specification.version,sysinfo,,,"1.0",1340872803083
java.vm.vendor,sysinfo,,,"Apple Inc.",1340872803083
java.vm.version,sysinfo,,,"20.6-b01-415",1340872803083
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1340872805710
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340872806026
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1340872807926
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1340872807934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872808232
error,log,,,"Failed to load properties file for project 'addingtonavfdemo-android'",1340872845378
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340872845399
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1340872845411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872845946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872856284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872879095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340872889458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873040479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873053770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873103241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873104938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873559235
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340873559351
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1340873560085
